DESCRIPTION,QUANTITY ,TOTAL COST ,PER ITEM ,ITEM PRICE,SHIPPING ,TAX
E3 rings 1,5,72.60,14.52,32.50,28,12.10
E3 rings 2,10,111.60,11.16,65,28,18.60
E3 Rings3,50,278,5.56,250,28,-
E3 circle ,200,267,1.34,230,37,-
Satin Nylon Rope ,365 (50cm),19.99,0.05,19.99,-,-
Adhesive Circles ,240,2.34,0.009,1.95,-,0.39
Leaflet Manual ,,,,,,
E3 Packaging ,192 (24pc x 8),30.96,0.16,£3.22,-,5.2
R&D 1,25 Hours ,500,20,20,- ,-
R&D 2,,,,,,
Profile Costs ,,,,,,
Email Costs ,12 months ,70.26,5.855,70.26,-,-
Domain Costs ,12 months,12.99,1.08,12.99,-,-
