Month ,INCOME NEVS MODELS,INCOME BOSS MODELS,20%,EXPENSES MONZO,EXPENSES NATIONWIDE,EXPENSES NATIONWIDE CREDIT CARD,TOTAL EXPENSE,"(-12,000)"
April,0,3373.79,674.75,139,294.05,0,,
May,0,4258.29,851.66,112,507.41,0,,
June,0,2550,510,160.8,208.06,0,,
July,0,3225,645,50,730.13,0,,
August,292.51,2763.58,611.218,233,213.41,0,,
September,0,600,150,30.98,324.19,0,,
October,2070.65,3962.50,1206.63,105,163.67,282.5,,
November,1275.29,2137.50,682.59,0,0,174.21,,
December,3750,487.50,847.5,14,217.29,177.18,,
January,2175,1500,735,5,55.84,85.93,,
February,7583,1125,1761.60,10,13.24,487.09,,
March,450,0,90,15,31,29.95,,
April,0,0,,0,19.99,0,,
Sum,"17,596.45","26,019",8765.95,874.78,2778.28,1236.86,4889.92,6323.09
